Source;Target
C3R8;Y7I6
NJPO;HSWY
NJPO;S9GS
NJPO;UDVS
NJPO;HUI5
NJPO;CSN0
CIJ3;FPU2
CIJ3;I9I7
CIJ3;V9G5
CIJ3;FBQJ
CIJ3;MFGP
PTWK;N0WX
PTWK;YHOL
PTWK;Y8UM
IOWJ;L7VY
Y4LJ;PEVK
Y4LJ;MGFJ
VDSY;ANOD
Q2AR;XJD3
V0EW;MRZ1
UDVS;HSWY
UDVS;CSN0
UDVS;S9GS
AUTA;P2L8
AUTA;I0CI
AUTA;TSGR
X5MB;Q2OT
X5MB;HPF4
XNMU;WTDS
XNMU;L7VY
HUI5;HSWY
HUI5;S9GS
PJYE;M4Y3
V9G5;MFGP
V9G5;I9I7
V9G5;FPU2
V9G5;FBQJ
A1RT;N0WX
A1RT;WTDS
A1RT;LJLL
L0KX;LNK6
L0KX;EUHD
I7CE;R2NC
I7CE;XJD3
I7CE;QNT9
I7CE;NQT1
I7CE;Q6EL
I7CE;ENQ5
I7CE;T4RV
I7CE;DSXI
I7CE;I6X1
I7CE;KCOZ
I7CE;YJV3
I7CE;I2P5
D7P5;JKMG
ENQ5;XJD3
ENQ5;I6X1
ENQ5;YJV3
ENQ5;R2NC
ENQ5;DSXI
V3TV;CCIB
V3TV;UITG
Y6B7;FTY9
Y6B7;WTDS
U6Z7;CUDJ
L6FV;CCIB
KQP7;DWVN
KQP7;FHX6
KQP7;O9TX
KQP7;V7X8
KQP7;O6M7
DWVN;O6M7
DWVN;V7X8
DWVN;FHX6
DWVN;O9TX
HDOZ;S9GS
HDOZ;JIP0
HDOZ;W1O7
HDOZ;M4Y3
HDOZ;RHAJ
Y7I6;QOH8
Y7I6;WNHY
VJG6;UTOI
S7EH;I0CI
V7X8;FHX6
V7X8;O6M7
V7X8;O9TX
UALW;N0WX
UALW;WTDS
UALW;LJLL
TSGR;P2L8
TSGR;I0CI
T4RV;XJD3
T4RV;Q6EL
FHX6;VPP0
FHX6;O6M7
FHX6;JIP0
FHX6;P2L8
FHX6;O9TX
Y8UM;YHOL
GXQ6;H6ZS
P4RI;QQEE
P4RI;FWPL
I9I7;FBQJ
I9I7;MFGP
CEDF;QOH8
YGIQ;OKAP
EQHZ;XPNU
XJD3;DSXI
XJD3;I6X1
XJD3;R2NC
XJD3;ZRZ2
JIP0;RHAJ
JIP0;W1O7
MFGP;FBQJ
MFGP;FPU2
YHOL;N0WX
FBQJ;FPU2
QQEE;LNK6
U5DB;N0WX
U5DB;LJLL
U5DB;WTDS
W1O7;M4Y3
W1O7;RHAJ
W1O7;S9GS
ZFLU;NRRK
ZFLU;UITG
SXVG;WTDS
SXVG;N0WX
SXVG;LJLL
UFDS;FPU2
LNK6;EUHD
LNK6;MRZ1
HSWY;S9GS
HSWY;CSN0
O9TX;O6M7
GVHQ;I6X1
I6X1;R2NC
V6L9;XPV2
P2L8;PTFA
NNEU;XPNU
M4Y3;S9GS
M4Y3;RHAJ
DSXI;R2NC
RYKG;LJLL
C9G4;WTDS
XPNU;ZGQS
XPNU;M6NZ
XPNU;VILR
FTY9;WTDS
LJLL;WTDS
LJLL;N0WX
CSN0;S9GS
N0WX;WTDS
QOH8;WNHY
I0CI;WNHY
M6NZ;E4GF
ZGQS;VILR
ZGQS;FPWV
S9GS;RHAJ
FPWV;VILR
NQT1;R2NC
